collection;Source;original;reasons for modication;ID;Used constraint;Constraints;Negative;Type;ActionA;ActionB;Type;ActionA;ActionB;Type;ActionA;ActionB
2;1;A claim should be created before it can be approved or rejected.;Student un-involved in our approach generated and searched for various syntactic descriptions of the same constraint. Applies to constraints 1 to 19;0;A claim should be created, before it can be approved.;1;FALSE;precedence;create claim;approve claim;;;;;;
2;1;;see 0;1;A claim must be created, before it is approved.;1;FALSE;precedence;create claim;approve claim;;;;;;
2;1;;see 0;2;When a claim is created, it may be approved.;1;FALSE;precedence;create claim;approve claim;;;;;;
2;1;;see 0;3;If a claim is created, it can be approved.;1;FALSE;precedence;create claim;approve claim;;;;;;
2;1;;see 0;4;They have to create the claim, before they can approve it.;1;FALSE;precedence;create claim;approve claim;;;;;;
2;1;;see 0;5;Only after a claim is created, it is possible to approve the claim.;1;FALSE;precedence;create claim;approve claim;;;;;;
2;1;;see 0;6;If a claim is approved, then it must have been created first.;1;FALSE;precedence;create claim;approve claim;;;;;;
2;1;;see 0;7;To approve a claim, it should be created first.;1;FALSE;precedence;create claim;approve claim;;;;;;
2;1;;see 0;8;A claim can be approved, after it has been created.;1;FALSE;precedence;create claim;approve claim;;;;;;
2;1;;see 0;9;Approving the claim can happen at anytime, unless it still needs to be created.;1;FALSE;precedence;create claim;approve claim;;;;;;
2;1;;see 0;10;Creation of the claim is required, before it can be approved.;1;FALSE;precedence;creation claim;approve claim;;;;;;
2;1;;see 0;11;The creation of the claim is a condition for the approval of the claim.;1;FALSE;precedence;creation claim;approval claim;;;;;;
2;1;;see 0;12;Only after the creation of a claim, the approval of the claim is possible.;1;FALSE;precedence;creation claim;approval claim;;;;;;
2;1;;see 0;13;When approval of the claim occurs, creation of the claim must have preceded.;1;FALSE;precedence;creation claim;approval claim;;;;;;
2;1;;see 0;14;If approval of the claim occurs, then creation of the claim must have been carried out first.;1;FALSE;precedence;creation claim;approval claim;;;;;;
2;1;;see 0;15;The approval of the claim requires that the creation of the claim occurs before it.;1;FALSE;precedence;creation claim;approval claim;;;;;;
2;1;;see 0;16;The approval of the claim should be preceded by the creation of the claim.;1;FALSE;precedence;creation claim;approval claim;;;;;;
