Id	Text	Constraints	Negative	Constraints extracted	Gold	Predicted	Coincidence	Precision	Recall	F-Score
0	The Police Report related to the car accident is searched within the Police Report database and put in a file together with the Claim Documentation.	3	false	[PRECEDENCE(A=relate police_report, B=search police_report database), PRECEDENCE(A=relate police_report, B=put), PRECEDENCE(A=relate police_report, B=file)]	3	9	1	0.1111111111111111	0.3333333333333333	0.16666666666666666
1	A customer brings in a defective computer and the manager analyzes the defect and gives back an invoice.	2	false	[PRECEDENCE(A=bring defective computer, B=analyze defect), PRECEDENCE(A=bring defective computer, B=give invoice)]	6	6	5	0.8333333333333334	0.8333333333333334	0.8333333333333334
2	After each of these activities, the proper system functionality is tested.	1	false	[EXISTENCE(A=test proper system functionality)]	4	2	1	0.5	0.25	0.3333333333333333
3	If an error is detected, another arbitrary repair activity is executed, otherwise the repair is finished.	1	false	[PRECEDENCE(A=an error is detected , B=finish repair)]	3	3	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
4	After a claim is registered, it is examined by a claims officer.	1	false	[PRECEDENCE(A=register claim, B=examine it)]	3	3	3	1.0	1.0	1.0
5	This recommendation is then checked by a senior claims officer who may mark the claim as OK or Not OK.	1	false	[PRECEDENCE(A=check recommendation, B=mark claim)]	6	3	3	1.0	0.5	0.6666666666666666
6	If the claim is marked as Not OK, it is sent back to the claims officer and the recommendation is repeated.	1	false	[PRECEDENCE(A=the claim is marked as Not_OK , B=send it)]	6	3	3	1.0	0.5	0.6666666666666666
7	If the claim is OK, the claim handling process proceeds.	1	false	[EXISTENCE(A=the claim is OK , the claim handling process proceeds . )]	3	2	0	0.0	0.0	NaN
8	The process of buying new hardware is started as soon as a request for new hardware is received by the IT department.	1	false	[INIT(A=buy new hardware)]	2	2	1	0.5	0.5	0.5
9	The next step is for the IT department to analyse the request and either approve or deny it.	2	false	[PRECEDENCE(A=analyse request, B=approve ), NONCOOCCURRENCE(A=approve , B=deny )]	6	6	3	0.5	0.5	0.5
10	If it is denied, the employee is informed via email about the denial and the process is ended.	2	false	[PRECEDENCE(A=it is denied , B=inform employee), PRECEDENCE(A=it is denied , B=end process)]	5	6	3	0.5	0.6	0.5454545454545454
11	However, if the request is approved it is edited and completed.	2	false	[PRECEDENCE(A=the request is approved , B=edit it), PRECEDENCE(A=the request is approved , B=complete it)]	6	6	6	1.0	1.0	1.0
12	Once this offer is received, a form is filled in and sent to the management.	2	false	[PRECEDENCE(A=receive offer, B=fill offer), PRECEDENCE(A=receive offer, B=send form)]	6	6	6	1.0	1.0	1.0
13	The management then analyses the request and decides if it is approved or not.	2	true	[PRECEDENCE(A=analyse request, B=it is approved or not ), PRECEDENCE(A=it is approved or not , B=decide)]	3	7	2	0.2857142857142857	0.6666666666666666	0.4
14	When this is accepted and the financial resources are found, the hardware is received by the IT department.	2	false	[PRECEDENCE(A=accept this, B=find financial resource), PRECEDENCE(A=accept this, B=receive hardware)]	6	6	4	0.6666666666666666	0.6666666666666666	0.6666666666666666
15	After which the financial department will take care of the invoice and the processes is ended.	1	false	[END(A=take care)]	2	2	2	1.0	1.0	1.0
16	In the scenario where the management does not approve the request, it can send the request back to the IT department for rework, then the IT department has to go back to editing and completing a request.	3	true	[PRECEDENCE(A=approve request, B=send request), PRECEDENCE(A=approve request, B=edit request), PRECEDENCE(A=approve request, B=complete request)]	6	10	2	0.2	0.3333333333333333	0.25
17	If the management does not approve the request, it can also decide to deny the request after which the process is ended.	1	true	[PRECEDENCE(A=the management does not approve the request , B=decide)]	6	4	3	0.75	0.5	0.6
18	The loan approval process starts by receiving a customer request for a loan amount.	1	false	[PRECEDENCE(A=approval loan, B=receive customer request for loan)]	2	3	0	0.0	0.0	NaN
19	If the customer needs further review or the loan amount is for $10,000 or more, the request is sent to the approver Web service.	1	false	[PRECEDENCE(A=the customer needs , B=send request)]	3	3	3	1.0	1.0	1.0
20	The process of an Office Supply Request starts when any employee of the organization submits an office supply request.	1	false	[INIT(A=submit office supply request)]	2	2	2	1.0	1.0	1.0
21	Once the requirement is registered, the request is received by the immediate supervisor of the employee requesting the office supplies.	1	false	[PRECEDENCE(A=register requirement, B=receive request)]	3	3	3	1.0	1.0	1.0
22	If the request is rejected, the process will end.	1	false	[RESPONSE(A=the request is rejected , B=end process)]	2	3	1	0.3333333333333333	0.5	0.4
23	If the request is asked to make a change, then it is returned to the petitioner who can review the comments for the change request.	1	false	[PRECEDENCE(A=the request is asked to make a change , B=return it)]	6	3	3	1.0	0.5	0.6666666666666666
24	If the request is approved, it will go to the purchase department that will be in charge of making quotations (using a subprocess) and select a vendor.	1	false	[RESPONSE(A=the request is approved , B=go it)]	6	3	2	0.6666666666666666	0.3333333333333333	0.4444444444444444
25	After a vendor is selected and confirmed, the system will generate and send a purchase order and wait for the product to be delivered and the invoice received.	4	false	[PRECEDENCE(A=select vendor, B=confirm vendor), RESPONSE(A=select vendor, B=generate), PRECEDENCE(A=select vendor, B=send purchase order), PRECEDENCE(A=select vendor, B=wait system)]	6	12	2	0.16666666666666666	0.3333333333333333	0.2222222222222222
26	In any of the cases, approval, rejection or change required the system will send the user a notification.	2	false	[PRECEDENCE(A=approval rejection approval case, B=change), RESPONSE(A=approval rejection approval case, B=send user)]	3	6	1	0.16666666666666666	0.3333333333333333	0.2222222222222222
27	The process starts when any employee of the organization submits a vacation request.	1	false	[INIT(A=submit vacation request)]	2	2	2	1.0	1.0	1.0
28	Once the requirement is registered, the request is received by the immediate supervisor of the employee requesting the vacation.	1	false	[PRECEDENCE(A=register requirement, B=receive request)]	3	3	3	1.0	1.0	1.0
29	If the request is rejected, the application is returned to the applicant/employee who can review the rejection reasons.	1	false	[PRECEDENCE(A=the request is rejected , B=return application)]	6	3	3	1.0	0.5	0.6666666666666666
30	If the request is approved, a notification is generated to the Human Resources Representative, who must complete the respective management procedures.	1	false	[PRECEDENCE(A=the request is approved , B=generate notification)]	6	3	3	1.0	0.5	0.6666666666666666
31	The process starts by reviewing the order.	1	false	[INIT(A=review order)]	2	2	2	1.0	1.0	1.0
32	If something is missing, the staff has to inform customer about a potential delay and order the missing products.	2	false	[RESPONSE(A=something is missing , B=inform customer about potential), PRECEDENCE(A=something is missing , B=miss product)]	3	6	1	0.16666666666666666	0.3333333333333333	0.2222222222222222
33	After waiting an average of x days for the delivery, the staff should check again if all products are on store.	2	false	[PRECEDENCE(A=wait average of x, B=all products are on store ), RESPONSE(A=all products are on store , B=check)]	3	6	1	0.16666666666666666	0.3333333333333333	0.2222222222222222
34	The courier company informs the client about a potential delay until there are enough human resources to process the delivery.	1	false	[EXISTENCE(A=inform client about potential)]	3	2	1	0.5	0.3333333333333333	0.4
35	Once the driver delivers the package, she should update the system so all stakeholders are notified.	1	false	[RESPONSE(A=deliver package, B=update system)]	6	3	3	1.0	0.5	0.6666666666666666
36	Whenever the sales department receives an order, a new process instance is created.	1	false	[PRECEDENCE(A=receive order, B=create order)]	2	3	1	0.3333333333333333	0.5	0.4
