Id	Text	Constraints	Negative	Constraints extracted	Gold	Predicted	Coincidence	Precision	Recall	F-Score
0	A claim must be created, before it can be approved or rejected.	2	false	[PRECEDENCE(A=create claim, B=approve it), PRECEDENCE(A=create claim, B=reject it)]	6	6	6	1.0	1.0	1.0
1	A claim should be approved before it can be paid out.	1	false	[PRECEDENCE(A=approve claim, B=pay it)]	3	3	3	1.0	1.0	1.0
2	Once a claim has been approved, it should eventually be paid out.	1	false	[RESPONSE(A=approve claim, B=pay it)]	3	3	3	1.0	1.0	1.0
3	Once a claim has been rejected, it should not be paid out.	1	true	[RESPONSE(A=reject claim, B=pay it)]	4	4	3	0.75	0.75	0.75
4	Payout should end the process and therefore exclude everything.	1	false	[END(A=exclude everything)]	2	2	1	0.5	0.5	0.5
5	A case can be closed manually at any time, unless we still need to pay out the claim.	1	false	[PRECEDENCE(A=pay claim, B=close case)]	3	3	3	1.0	1.0	1.0
6	The case can be managed at the union after it has been created.	1	false	[PRECEDENCE(A=create it, B=manage case)]	3	3	3	1.0	1.0	1.0
7	After a case is created, management can and must arrange a meeting between the union case worker and the other case worker.	1	false	[RESPONSE(A=create case, B=arrange meeting between union case)]	3	3	3	1.0	1.0	1.0
8	After a meeting is arranged it must be held.	1	false	[RESPONSE(A=arrange meeting, B=hold it)]	3	3	3	1.0	1.0	1.0
9	The case worker should enter metadata on the case, inform about when he is available for participating in a meeting and then submit the case.	2	false	[PRECEDENCE(A=enter metadata, B=participate meeting), PRECEDENCE(A=enter metadata, B=submit case)]	6	6	2	0.3333333333333333	0.3333333333333333	0.3333333333333333
10	When a case is submitted it may get a local id at the union, but it should also subsequently be assigned a case id in LO.	1	false	[RESPONSE(A=get local id at union, B=assign it)]	6	3	0	0.0	0.0	NaN
11	When a case is submitted, LO should eventually propose dates.	1	false	[EXISTENCE(A=propose date)]	3	2	0	0.0	0.0	NaN
12	Only after LO has assigned its case id it is possible to manage the case and for LO to propose dates.	2	false	[PRECEDENCE(A=assign lo, B=manage case), PRECEDENCE(A=assign lo, B=propose date)]	6	6	6	1.0	1.0	1.0
13	Once a date has been agreed upon a meeting should eventually be held.	1	false	[RESPONSE(A=agree date, B=hold)]	3	3	3	1.0	1.0	1.0
14	Every process instance starts by examining a patient.	1	false	[INIT(A=examine patient)]	2	2	2	1.0	1.0	1.0
